track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_k-pop_prob,predicted_lo-fi_prob,predicted_pop_prob,predicted_rnb_prob,predicted_tiktok_prob,cosine_dist,cosine_dist_mod
0BEpSEV02FM1N5gcw2fsJC,"Kung Ayaw Mo Wag Mo - Recorded at Kodama Studios, Philippines",4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,5aw4ypdD3AVVJO8REswpLQ,252037,22/02/2019,49,0.621,0.571,3,0.661412487,1,0.03,0.449,0.0401,0.096,0.4,0.322530427,2,lo-fi,0.427991671,0.0124238,0.092253492,0.054349735,0.144855107,0.313913591,0.382204275,0.074985183,0.114833925
14gkWVFMwdxBMyqBw1wmIg,safety net (feat. Ty Dolla $ign),66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,3euz4vS7ezKGnNSwgyvKcd,208457,30/10/2020,70,0.552,0.599,1,0.757420676,0,0.0404,0.0703,0,0.0986,0.0916,0.672614726,5,tiktok,0.427896906,0.024285161,0.019214315,0.124387296,0.207461098,0.380034756,0.244617373,0.107608883,0.137862846
161DnLWsx1i3u1JT05lzqU,Talking to the Moon,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,1uyf3l2d4XYwiEqAb7t7fX,217866,05/10/2010,86,0.523,0.606,1,0.798198567,0,0.0301,0.512,0,0.106,0.065,0.573874894,3,pop,0.427830103,0.008379882,0.00891076,0.067013837,0.424040342,0.253060812,0.238594366,0.145078394,0.137395476
5px6upUHM3fhOP621Edp4V,Physical,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,5Vzq1wKBUXMxEZl3NPjJpS,193829,30/01/2020,72,0.647,0.844,0,0.839058342,1,0.0457,0.0137,0.000658,0.102,0.746,0.580797204,3,pop,0.427632922,0.006740086,0.006506849,0.065991879,0.1154717,0.363201284,0.442088203,0.030608062,0.084377227
3AzjcOeAmA57TIOr9zF1ZW,Physical,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,7fJJK56U9fHixgO0HQkhtI,193829,27/03/2020,78,0.647,0.844,0,0.839058342,1,0.0457,0.0137,0.000658,0.102,0.746,0.58082797,3,pop,0.427618224,0.018761251,0.015412426,0.030769598,0.199689224,0.333325174,0.402042326,0.030610978,0.067574741
4u8RkgV6P4TLi89SmlUtv8,Mundo,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,2p6QlBCrnKwUFC0wPN1kfV,349713,14/02/2018,65,0.705,0.401,6,0.628454452,1,0.0376,0.176,8.66E-06,0.0735,0.481,0.53814962,4,rnb,0.427470085,0.01829247,0.011700495,0.366797724,0.085220951,0.350341916,0.167646444,0.094113026,0.169845516
2sQH02O2HBCPJCztBrCWNa,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,74vajFwEwXJ61OW1DKSPEa,182437,19/02/2021,70,0.659,0.662,5,0.756683726,1,0.434,0.211,0,0.228,0.704,0.353099349,4,rnb,0.427405612,0.017835297,0.005218104,0.118182686,0.159821132,0.336779271,0.362163509,0.045210843,0.087706682
4mxWSdf71VFO52qFeY0fZt,What Lovers Do (feat. SZA),04gDigrS5kc9YWfZHwBETP,Maroon 5,6IlqqqEqp1Qfd6187z3YVG,199849,30/08/2017,0,0.795,0.608,5,0.779037871,0,0.0694,0.0767,2.92E-06,0.0853,0.386,0.353370088,5,tiktok,0.427237625,0.006287738,0.014281566,0.118290386,0.117946376,0.249273569,0.493920365,0.037504553,0.096696698
3FiE2d325mIOc4YjkSLVJR,Everyday,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,4lVR2fg3DAUQpGVJ6DciHW,194840,20/05/2016,0,0.635,0.738,7,0.811709314,0,0.0519,0.0192,0,0.15,0.428,0.482401949,3,pop,0.427202279,0.012170334,0.079322769,0.030329194,0.427202279,0.173149251,0.277826173,0.023617371,0.025977974
3LPGSFnV3zANLiXQiQGjOx,Healer,5TnQc2N1iKlFjYD7CPGvFc,DAY6,3Ss5rH4Ua4Z7bQzhWDbbsG,227185,19/04/2021,62,0.644,0.741,2,0.798648925,1,0.0316,0.00145,0,0.0694,0.807,0.439422095,3,pop,0.427135552,0.000994886,0.034008634,0.061945629,0.142324324,0.333876667,0.42684986,0.034669156,0.081187854
7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,3QJUFtGBGL05vo0kCJZsmT,salem ilese,1xWYSg7J7pxTZ113CJVy1P,136838,24/07/2020,78,0.738,0.621,0,0.693428864,1,0.0486,0.424,7.39E-06,0.692,0.715,0.377779692,4,rnb,0.427086153,0.003138907,0.005317313,0.144145303,0.012540531,0.447601238,0.387256708,0.137963422,0.201013106
4uuEGH5SVuzkkSFjo2DEiY,Don’t You (Taylor’s Version) (From The Vault),06HL4z0CvFAxyc27GXpf02,Taylor Swift,4hDok0OAJd57SGIT8xuWJH,208608,09/04/2021,74,0.563,0.473,3,0.520040942,1,0.0503,0.514,1.20E-05,0.109,0.405,0.30373251,2,lo-fi,0.427043112,0.012544587,0.124182292,0.016775712,0.36453213,0.252380143,0.229585136,0.11863652,0.111841758
0TQwHViH6PeO7zUxH6EAT3,Hericane,49tQo2QULno7gxHutgccqF,LANY,2hVTFTbeg9QhXGZAY99oRa,346797,30/06/2017,0,0.666,0.435,0,0.659406346,1,0.0319,0.41,0.000295,0.112,0.148,0.512743204,5,tiktok,0.427040842,0.000342064,5.09E-05,0.023780963,0.001301919,0.755473957,0.219050154,0.141920043,0.272533627
20BOju91NaEFK5Py4VJ2pp,Best Friend (feat. Doja Cat),6cK3NBO6uP7hh0oyuVELFl,Saweetie,0DqDdZGSQkWQiE0TzBqeLA,155883,18/09/2020,70,0.84,0.766,4,0.824155578,1,0.136,0.00302,3.61E-06,0.0684,0.402,0.255024059,5,tiktok,0.42684986,0.376712794,0.003199287,0.397081782,0.097348524,0.025468673,0.100188941,0.023524369,0.118780039
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),6cK3NBO6uP7hh0oyuVELFl,Saweetie,28Yv9BE6ZI6dccK0sxbEq4,155883,07/01/2021,89,0.84,0.766,4,0.824155578,1,0.136,0.00302,3.61E-06,0.0684,0.402,0.255024059,5,tiktok,0.42684986,0.001026314,0.01778437,0.396709086,0.034983637,0.088844459,0.460652135,0.023524369,0.113022438
03B2SfXuvDh1m9F4tqrX07,Skin,74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,6JISV6SiJtQnIsNC6OVpUf,177500,22/01/2021,79,0.557,0.457,7,0.772896622,1,0.0335,0.428,0,0.0567,0.328,0.328246717,3,pop,0.426822577,0.015615396,0.079419515,0.075575309,0.080556203,0.221081961,0.527751615,0.086360909,0.150524074
3lkYS3iMpWMVpaJ0yJAFrJ,I Saw Mommy Kissing Santa Claus,2iE18Oxc8YSumAU232n4rW,The Jackson 5,3w6QeihCf2l0zZMBLagxDj,181200,01/01/1970,7,0.574,0.603,3,0.515783009,1,0.0592,0.356,1.51E-05,0.792,0.653,0.471529308,4,rnb,0.426538207,0.674139169,0.009686612,0.117438523,0.11494407,0.053041043,0.030750583,0.189488617,0.282973523
2SuTg9SbfgvHOqhZonuu1j,Nandyan Agad Ako,2iB7AJhJmkWkkehY9ccB0j,Ex Battalion,6Y8OKCmGEqn2JjbTEwIbdf,240178,06/08/2018,0,0.799,0.529,9,0.617400205,1,0.0615,0.661,0,0.0856,0.601,0.464428556,5,tiktok,0.426383675,0.006537272,0.014865623,0.417322566,0.116301032,0.231310889,0.213662618,0.143416192,0.196462116
6BZLjTOKBPqhq4xpOLkjrp,Nandyan Agad Ako,2iB7AJhJmkWkkehY9ccB0j,Ex Battalion,0eLjp1QFnlSL8Oaoz17RRY,240178,06/08/2018,56,0.799,0.529,9,0.617400205,1,0.0615,0.661,0,0.0856,0.601,0.464428556,5,tiktok,0.426383675,0.009940474,0.477034846,0.007537416,0.286429294,0.060176651,0.15888132,0.143416192,0.154080778
4e9rEIp7jCIi8gIovPWpGq,Control (feat. Bryce Vine & Dan Caplen),5KnoVkIUGmK0PiDKMjz2LM,Feder,3FU1R1Z2BpkQJbnZnh4vyV,200400,23/11/2018,51,0.739,0.698,11,0.795250768,0,0.149,0.122,0,0.0824,0.715,0.346700058,4,rnb,0.426271117,0.009375882,0.057062358,0.061259029,0.217684043,0.448025157,0.206593531,0.024459626,0.063874205
2IKJtXeR5UsaUjZB46fTOK,six thirty,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,3euz4vS7ezKGnNSwgyvKcd,183874,30/10/2020,65,0.739,0.516,0,0.699938588,1,0.0539,0.67,0,0.151,0.434,0.415566276,5,tiktok,0.426267915,0.004382942,0.044449865,0.096039489,0.131297058,0.397197783,0.326632863,0.139329044,0.176076078
3GZoWLVbmxcBys6g0DLFLf,Supalonely (feat. Gus Dapperton),0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,4KKRAmQ0ksj32l7mrgLOcF,223488,13/11/2020,66,0.862,0.631,7,0.7985261,1,0.0515,0.291,0.000209,0.123,0.841,0.470138692,5,tiktok,0.42620471,0.033594221,0.012930902,0.074121304,0.429555184,0.22087556,0.228922828,0.066406235,0.06931766
1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,7KJTuTXYSnBGNgAxte3CSg,207094,21/02/2019,67,0.44,0.635,11,0.731422723,1,0.0326,0.129,0,0.121,0.327,0.464939268,3,pop,0.426192293,0.001069248,2.90E-05,0.982805863,0.000490149,0.011809116,0.003796645,0.034305447,0.294713978
06Pvy98db25O7wlfFFFIRM,Bon Bon Chocolat,3ZZzT0naD25RhY2uZvIKkJ,EVERGLOW,34jrFDbWiepwHN4L1pZmCr,228682,18/03/2019,49,0.719,0.828,6,0.765240532,1,0.0613,0.0343,0,0.0747,0.634,0.537509691,5,tiktok,0.426118207,0.001723747,0.009224147,0.303869623,0.004942965,0.114374392,0.565865126,0.026863895,0.117077291
5hHudNsfZXmdgefWxAX2LG,Hard Times,74XFHRwlV6OrjEM0A2NCMF,Paramore,7IefnE4Gu6Vwp6wayHxV40,182693,19/04/2017,58,0.695,0.818,5,0.772610031,0,0.0334,0.00647,4.87E-06,0.0219,0.916,0.41468022,4,rnb,0.426013409,0.01193099,0.017869708,0.051026677,0.20260642,0.426013409,0.290552796,0.041578353,0.079627366
0w5Bdu51Ka25Pf3hojsKHh,Hard Times,74XFHRwlV6OrjEM0A2NCMF,Paramore,1c9Sx7XdXuMptGyfCB6hHs,182693,12/05/2017,75,0.695,0.818,5,0.772610031,0,0.0334,0.00647,4.87E-06,0.0219,0.916,0.41468022,4,rnb,0.426013409,0.01193099,0.017869708,0.051026677,0.20260642,0.426013409,0.290552796,0.041578353,0.079627366
4KL3FJYexPrPuMdPagHPXp,Yours,4YXNoMVTHRt01jYaKXTumJ,Raiden,01RsFGO7W7xaRM4T2p1Xdn,235413,12/05/2020,74,0.676,0.774,8,0.829559877,1,0.0338,0.137,0,0.106,0.392,0.211804231,3,pop,0.425979111,0.009317523,0.366618872,0.010120424,0.329476962,0.111278969,0.17318725,0.015930019,0.029133854
1a5Yu5L18qNxVhXx38njON,Hear Me Now,0NGAZxHanS9e0iNHpR8f2W,Alok,6apmeAAgvzvhBKio8WYThf,192846,01/01/2016,51,0.788,0.43,11,0.675250768,1,0.0419,0.537,0.00261,0.0936,0.461,0.427177297,5,tiktok,0.425806551,0.013822959,0.026839071,0.203895035,0.11159623,0.218040154,0.425806551,0.131594497,0.174308329
